ID,Name
1,"Battalion Not Shown"
2,"1st Battalion"
3,"2nd Battalion"
4,"3rd Battalion"
5,"4th Battalion"
6,"5th Battalion"
7,"2/1 Battalion"
8,"9th Battalion"
9,"13th Battalion"
10,"12th Battalion"
11,"16th Battalion"
12,"11th Battalion"
13,"14th Battalion"
14,"17th Battalion"
15,"15th Battalion"
16,"7th Battalion"
17,"10th Battalion"
18,"6th Battalion"
19,"8th Battalion"
20,"20th Battalion"
21,"25th Battalion"
22,"21st Battalion"
23,"23rd Battalion"
24,"29th Battalion"
25,"24th Battalion"
26,"26th Battalion"
27,"22nd Battalion"
28,"12/13 Battalion"
29,"27th Battalion"
30,"18th Battalion"
31,"32nd Battalion"
32,"31st Battalion"
33,"19th Battalion"
34,"30th Battalion"
35,"28th Battalion"
36,"1/2 Battalion"
37,"24/27 Battalion"
38,"33rd Battalion"
39,"1/4 Battalion"
40,"38th Battalion"
41,"62nd Battalion"
42,"2/4 Battalion"
43,"1/3 Battalion"
44,"6/7 Battalion"
45,"7/8 Battalion"
46,"1/12 Battalion"
47,"1/5 Battalion"
48,"10/11 Battalion"
49,"91st Battalion"
50,"6/12 Battalion"
188,"""b"" Battalion"
189,"""e"" Battalion"
190,"""f"" Battalion"
191,"""h"" Battalion"
196,"""d"" Battalion"
211,"3/2 Battalion"
212,"2/2 Battalion"
213,"3/4 Battalion"
214,"2/3 Battalion"
215,"3/3 Battalion"
216,"4/3 Battalion"
217,"1/7 Battalion"
218,"4th Battalion (Queen's Edinburgh Rifles) (Territorial)"
219,"5th Battalion (Queen's Edinburgh Rifles) (Territorial)"
220,"6th Battalion (Territorial)"
221,"7th Battalion (Territorial)"
222,"8th Battalion (Territorial)"
223,"9th (Highlanders) Battalion (Territorial)"
224,"10th (Cyclist) Battalion (Territorial)"
225,"4th Battalion (Territorial)"
226,"5th Battalion (Territorial)"
227,"5th (The Weald of Kent) Battalion (Territorial)"
228,"6th (Rifle) Battalion (Territorial)"
229,"8th (Irish) Battalion (Territorial)"
230,"9th Battalion (Territorial)"
231,"10th Battalion (Liverpool Scottish) (Territorial)"
232,"6th (Cyclist) Battalion (Territorial)"
233,"5th (Prince of Wales) Battalion (Territorial)"
234,"7th (Cyclist) Battalion (Territorial)"
235,"7th Battalion (Leeds Rifles) (Territorial)"
236,"8th Battalion (Leeds Rifles) (Territorial)"
237,"5th (Cyclist) Battalion (Territorial)"
238,"5th (Earl of Chester's) Battalion (Territorial)"
239,"4th (Denbighshire) Battalion (Territorial)"
240,"5th (Flintshire) Battalion (Territorial)"
241,"6th (Carnarvonshire and Anglesey) Battalion (Territorial)"
242,"7th (Merloneth and Montgomery) Battalion (Territorial)"
243,"Brecknockshire Battalion (Territorial)"
244,"4th (The Border) Battalion (Territorial)"
245,"5th (Dumfries and Galloway) Battalion (Territorial)"
247,"4th (City of Bristol) Battalion Territorial"
248,"4th (Cumberland and Westmorland) Battalion (Territorial)"
249,"5th (Cumberland) Battalion (Territorial)"
