REG_ID,BAT_ID,SORTORDER
1,392,1
266,346,2
266,347,3
266,348,4
266,349,5
266,350,6
266,351,7
266,352,8
266,353,9
266,354,10
266,355,11
266,356,12
266,357,13
266,358,14
266,359,15
266,360,16
266,361,17
266,362,18
266,363,19
266,364,20
266,365,21
266,366,22
266,367,23
266,368,24
266,369,25
266,370,26
266,371,27
266,372,28
266,373,29
266,374,30
266,375,31
266,376,32
266,377,33
266,378,34
266,379,35
266,380,36
266,381,37
266,382,38
266,383,39
266,384,40
266,385,41
266,386,42
266,387,43
266,388,44
266,389,45
266,390,46
266,391,47
47,392,48
48,392,49
49,392,50
50,2,51
50,3,52
50,4,53
50,1,99999
50,5,55
50,6,56
51,4,57
51,2,58
51,1,99999
51,3,60
51,5,61
52,3,62
52,1,99999
52,2,64
52,7,65
52,4,66
53,1,99999
53,3,68
53,2,69
54,1,99999
54,2,71
55,2,72
55,1,99999
55,3,74
55,5,75
55,8,76
56,1,99999
56,9,78
56,10,79
56,4,80
56,3,81
56,2,82
56,11,83
56,12,84
56,13,85
56,14,86
56,15,87
57,16,88
57,2,89
57,17,90
57,4,91
57,1,99999
57,8,93
57,12,94
57,18,95
57,3,96
57,19,97
57,11,98
58,1,99999
58,4,100
58,16,101
58,18,102
58,2,103
58,3,104
58,19,105
59,1,99999
59,4,107
59,2,108
59,18,109
59,16,110
59,12,111
59,3,112
59,19,113
59,17,114
59,8,115
59,225,116
60,1,99999
60,9,118
60,8,119
60,12,120
60,20,121
60,2,122
60,21,123
60,22,124
60,15,125
60,10,126
60,19,127
60,23,128
60,11,129
60,24,130
60,25,131
60,17,132
60,4,133
60,13,134
60,26,135
60,27,136
60,28,137
60,29,138
60,30,139
60,31,140
60,3,141
60,32,142
60,33,143
60,34,144
60,14,145
60,35,146
60,36,147
60,37,148
60,38,149
61,1,99999
61,4,151
61,13,152
61,8,153
61,17,154
61,3,155
61,11,156
61,15,157
61,10,158
61,5,159
61,2,160
61,12,161
61,9,162
61,14,163
61,33,164
62,26,165
62,16,166
62,19,167
62,1,99999
62,11,169
62,17,170
62,9,171
62,23,172
62,13,173
62,30,174
62,5,175
62,6,176
62,20,177
62,14,178
62,25,179
62,3,180
62,18,181
62,12,182
62,8,183
62,2,184
62,10,185
62,27,186
62,31,187
62,15,188
62,39,189
62,32,190
62,4,191
62,21,192
62,24,193
62,38,194
62,33,195
62,29,196
62,35,197
62,40,198
63,30,199
63,10,200
63,13,201
63,5,202
63,9,203
63,14,204
63,1,99999
63,33,206
63,22,207
63,15,208
63,4,209
63,2,210
63,27,211
63,20,212
63,3,213
63,11,214
63,12,215
63,231,216
63,36,217
64,1,99999
64,19,219
64,17,220
64,16,221
64,8,222
64,2,223
64,4,224
64,3,225
64,225,226
65,3,227
65,2,228
65,1,99999
65,18,230
65,4,231
65,17,232
65,19,233
65,36,234
65,16,235
65,8,236
66,2,237
66,8,238
66,1,99999
66,3,240
66,19,241
66,4,242
66,12,243
66,17,244
67,16,245
67,1,99999
67,12,247
67,2,248
67,4,249
67,17,250
67,8,251
67,3,252
67,10,253
67,19,254
67,226,255
67,9,256
68,4,257
68,18,258
68,16,259
68,2,260
68,19,261
68,8,262
68,1,99999
68,3,264
68,226,265
68,10,266
68,12,267
68,41,268
69,236,269
69,22,270
69,9,271
69,30,272
69,17,273
69,5,274
69,13,275
69,15,276
69,10,277
69,2,278
69,11,279
69,3,280
69,1,99999
69,12,282
69,4,283
69,8,284
69,33,285
69,36,286
69,14,287
69,235,288
69,27,289
70,1,99999
70,17,291
70,16,292
70,2,293
70,8,294
70,10,295
70,9,296
70,19,297
70,4,298
70,12,299
70,18,300
70,30,301
70,3,302
70,15,303
71,3,304
71,2,305
71,17,306
71,4,307
71,19,308
71,1,99999
71,5,310
71,16,311
71,18,312
71,8,313
71,36,314
71,9,315
72,16,316
72,19,317
72,17,318
72,3,319
72,36,320
72,2,321
72,1,99999
72,12,323
72,8,324
72,18,325
72,4,326
72,42,327
73,6,328
73,4,329
73,1,99999
73,3,331
73,2,332
73,18,333
73,5,334
73,19,335
74,3,336
74,1,99999
74,18,338
74,8,339
74,4,340
74,17,341
74,16,342
74,9,343
74,19,344
74,15,345
74,12,346
74,2,347
74,10,348
74,36,349
74,43,350
74,225,351
74,13,352
74,226,353
75,11,354
75,1,99999
75,17,356
75,15,357
75,14,358
75,4,359
75,5,360
75,2,361
75,10,362
75,12,363
75,36,364
75,8,365
75,9,366
75,20,367
75,33,368
75,30,369
75,3,370
75,22,371
75,27,372
76,18,373
76,19,374
76,1,99999
76,4,376
76,8,377
76,16,378
76,3,379
76,2,380
76,36,381
76,44,382
77,12,383
77,2,384
77,4,385
77,3,386
77,1,99999
77,15,388
77,8,389
77,13,390
77,9,391
77,17,392
77,19,393
77,14,394
77,10,395
77,30,396
77,11,397
77,36,398
77,225,399
78,4,400
78,1,99999
78,8,402
78,12,403
78,14,404
78,19,405
78,33,406
78,13,407
78,10,408
78,9,409
78,3,410
78,30,411
78,2,412
78,11,413
78,17,414
78,15,415
78,36,416
78,27,417
78,23,418
78,20,419
79,5,420
79,4,421
79,8,422
79,3,423
79,19,424
79,1,99999
79,6,426
79,2,427
79,12,428
79,17,429
79,16,430
79,18,431
79,10,432
79,9,433
79,13,434
80,18,435
80,3,436
80,16,437
80,4,438
80,2,439
80,1,99999
80,45,441
80,19,442
80,36,443
80,8,444
81,4,445
81,17,446
81,3,447
81,5,448
81,10,449
81,2,450
81,1,99999
81,12,452
81,36,453
81,222,454
81,8,455
81,9,456
81,11,457
82,18,458
82,6,459
82,8,460
82,1,99999
82,4,462
82,3,463
82,12,464
82,10,465
82,5,466
82,36,467
82,19,468
82,16,469
82,2,470
82,17,471
82,45,472
82,9,473
83,19,474
83,17,475
83,10,476
83,4,477
83,1,99999
83,2,479
83,15,480
83,13,481
83,16,482
83,8,483
83,9,484
83,12,485
83,3,486
83,36,487
83,247,488
83,11,489
84,5,490
84,36,491
84,1,99999
84,10,493
84,2,494
84,9,495
84,3,496
84,18,497
84,6,498
84,4,499
84,8,500
84,13,501
84,17,502
84,12,503
84,33,504
84,39,505
84,221,506
84,7,507
85,4,508
85,1,99999
85,2,510
85,10,511
85,17,512
85,12,513
85,18,514
85,16,515
85,19,516
85,9,517
85,3,518
85,8,519
85,36,520
86,2,521
86,19,522
86,4,523
86,12,524
86,16,525
86,10,526
86,8,527
86,3,528
86,5,529
86,1,99999
86,9,531
86,36,532
86,13,533
86,17,534
87,2,535
87,18,536
87,1,99999
87,8,538
87,4,539
87,16,540
87,17,541
87,3,542
87,19,543
87,12,544
87,36,545
87,226,546
88,8,547
88,1,99999
88,36,549
88,3,550
88,12,551
88,19,552
88,4,553
88,17,554
88,2,555
88,10,556
89,4,557
89,3,558
89,2,559
89,19,560
89,1,99999
89,18,562
89,16,563
89,17,564
89,12,565
89,10,566
89,36,567
89,8,568
90,4,569
90,19,570
90,1,99999
90,9,572
90,17,573
90,8,574
90,3,575
90,16,576
90,12,577
90,13,578
90,10,579
90,2,580
90,36,581
91,2,582
91,1,99999
91,3,584
91,12,585
91,13,586
91,15,587
91,9,588
91,17,589
91,4,590
91,10,591
91,11,592
91,36,593
