REG_ID,BAT_ID,SORTORDER
28,122,76661
28,161,76663
28,144,76671
28,170,76687
30,228,76693
30,110,78088
30,111,79579
30,112,79601
30,114,79635
30,117,79665
30,118,80313
30,120,81195
30,121,82086
30,122,82247
30,162,82254
30,163,83044
30,123,83777
30,124,84241
30,125,84868
30,126,85240
30,127,85480
30,128,85491
30,129,85494
30,130,85542
30,144,85543
30,230,85572
30,231,86131
30,232,86970
30,180,87149
30,183,87163
30,166,87642
30,185,87850
30,233,87851
30,187,87869
30,167,88421
30,234,88749
30,189,89291
32,109,89564
32,110,90870
32,111,92150
32,112,92210
32,236,92226
32,160,92911
32,237,93310
32,183,93319
32,166,93742
32,187,94137
32,167,94645
32,238,95052
32,188,95059
32,189,95554
32,117,95771
32,118,96487
32,120,97497
32,121,98158
32,122,98369
32,161,98401
32,162,98406
32,163,99034
32,123,99610
32,124,100150
32,125,100151
32,126,100156
32,127,100167
32,171,100168
32,172,100171
32,173,100182
32,144,100211
32,170,100228
34,109,100250
34,110,101588
34,111,102241
34,114,102271
34,115,102842
34,116,103246
34,117,104412
34,118,104601
34,120,104608
34,121,104725
34,144,104726
34,112,104752
34,157,104765
34,159,105549
34,160,106135
56,310,200250
56,311,200269
58,109,200272
58,170,201276
58,144,201297
58,110,201306
58,111,202219
58,112,202232
58,313,202234
58,113,202241
58,308,202613
58,114,203107
58,115,203276
58,116,203696
58,117,204323
58,118,205343
58,120,206293
58,121,206463
58,161,206464
58,162,206467
58,163,206468
58,123,206477
58,124,206481
60,109,206491
60,110,207900
60,111,209006
60,112,209035
60,113,209045
60,114,209296
60,115,209531
60,316,209920
60,116,210099
60,117,210498
60,118,211159
60,120,211421
60,121,211880
60,122,211892
60,144,211965
62,109,212002
62,170,212560
62,110,212573
62,220,213671
62,221,213679
62,113,213714
62,114,214631
62,115,215132
62,116,215347
62,117,215388
62,318,215416
62,144,215420
62,319,215449
62,320,215451
62,158,215945
62,226,216486
62,165,216489
62,118,216505
62,321,216507
62,322,216991
