ID,Name
295,"78th Training Reserve Battalion."
296,"79th Training Reserve Battalion."
298,"3rd (Reserve) Battalion."
299,"4th (Reserve) Battalion Seaforth Highlanders."
300,"5th Battalion Seaforth Highlanders."
301,"39th T.R. Battalion."
305,"4th Garrison Battalion."
306,"5th Garrison Battalion."
307,"6th Garrison Battalion."
308,"5/6th Battalion."
309,"3/7th Battalion."
310,"1/1st Welsh Horse, Yeomanry."
311,"2/1st Welsh Horse Yeomanry."
313,"5th Battalion Super. Co."
316,"7/8th Battalion."
318,"11th Garrison Battalion."
319,"Indian Depot."
320,"1/4 Battalion."
321,"1/1st Bucks Battalion."
322,"2/1st Bucks Battalion."
323,"157th T.F. Depot."
324,"3/1st Bucks Battalion."
326,"8th (Cyclist) Battalion."
328,"12/13th Battalion."
329,"17th Battalion (N.E.R. Pioneers)."
330,"18th Battalion (Tyneside Pioneers)."
331,"19th Battalion (Tyneside Pioneers)."
332,"20th Battalion (Tyneside Scottish)."
333,"21st Battalion (Tyneside Scottish)."
334,"22nd Battalion (Tyneside Scottish)."
335,"23rd Battalion (Tyneside Scottish)."
336,"24th Battalion (Tyneside Irish)."
337,"25th Battalion (Tyneside Irish)."
338,"26th Battalion (Tyneside Irish)."
339,"27th Battalion (Tyneside Irish)."
340,"24/27th Battalion (Tyneside Irish)."
341,"30th Battalion."
342,"31st Battalion."
343,"33rd Battalion."
344,"35th Battalion (Territorial)."
345,"36th Battalion (Territorial)."
346,"51st Battalion (Y.S.Bn)."
347,"52nd Battalion (Y.S.Bn.)."
348,"53rd Battalion (Y.S.Bn.)."
349,"22nd Provisional Battalion."
350,"2nd Works Coy."
351,"Depot Battalion."
352,"3rd Battalion (Special Reserve)."
353,"1/4th Battalion (Territorials)."
354,"1/5th Battalion (Territorial)."
355,"1/6th Battalion (Territorial)."
356,"1/7th Battalion (Territorials)."
358,"1/4th Battalion. (Territorials)."
360,"2/4th Battalion (Territorials)."
361,"3/4th Battalion (Territorials)."
362,"4th (Reserve) Battalion (Territorials)."
363,"5th (P.O.W.) Battalion (Territorials)."
364,"1/6th Battalion (Territorials)."
365,"2/6th Battalion (Territorials)."
366,"3/6th Battalion (Territorials)."
367,"1/7th (Cyclist) Battalion (Territorials)."
368,"2/7th (Cyclist) Battalion (Territorials)."
369,"8th (Service) Battalion."
370,"9th (Service) Battalion."
371,"13th (Works) Battalion."
372,"14th (Labour) Battalion."
373,"15th Battalion (Territorial)."
374,"16th (Royal 1st Devon Yeomanry and Royal North Devon Hussars) Battalion."
375,"2nd (Home Service) (Garrison) Battalion."
376,"86th (Provisional) Battalion."
377,"51st (Y.S.) Battalion."
378,"53rd (Y.S.) Battalion."
379,"1st Infantry Labour Company."
380,"3rd Infantry Labour Company."
381,"2nd Infantry Labour Company."
382,"4th Infantry Lobour Company."
383,"5th Infantry Labour Company."
384,"6th Infantry Labour Company."
385,"7th Infantry Labour Company."
386,"8th Infantry Labour Company."
387,"9th Infantry Labour Company."
388,"11th Infantry Labour Company."
389,"12th Infantry Labour Company."
390,"1st Infantry Works Company."
391,"3rd Infantry Works Company."
392,"4th Infantry Works Company."
393,"5th Infantry Works Company."
394,"6th Infantry Works Company."
395,"7th Infantry Works Company."
396,"10th Infantry Works Company."
508,"London Heavy Brigade. [RGA - (TF)]"
509,"Cornwall (Duke of Cornwall's). [RGA - (TF)]"
510,"Clyde. [RGA - (TF)]"
511,"Devonshire. [RGA - (TF)]"
512,"Dorset. [RGA - (TF)]"
513,"Durham. [RGA - (TF)]"
514,"Essex and Suffolk. [RGA - (TF)]"
515,"Forth. [RGA - (TF)]"
516,"Glamorgan. [RGA - (TF)]"
517,"Hampshire. [RGA - (TF)]"
518,"Kent. [RGA - (TF)]"
519,"Lancashire and Cheshire. [RGA - (TF)]"
520,"North Scottish. [RGA - (TF)]"
521,"Orkney. [RGA - (TF)]"
522,"Pembrokeshire. [RGA - (TF)]"
523,"Sussex. [RGA - (TF)]"
524,"Tynemouth. [RGA - (TF)]"
525,"East Riding. [RGA - (TF)]"
528,"2nd Battalion"
529,"1/4th (City of Bristol) Battalion (T.F.)."
530,"2/4th (City of Bristol) Battalion, Territorial."
531,"2/5th Battalion (Territorial)."
532,"3/6th (Reserve) Battalion."
533,"7th (Service) Battalion."
534,"8th Service Battalion."
535,"11th (Reserve) Battalion."
536,"12th (Service) (Bristol) Battalion."
537,"13th (Service) Battalion (Forest of Dean) (Pioneers)."
538,"14th (Service) Battalion (West of England)."
539,"15th (Reserve) Battalion."
540,"16th (Reserve) Battalion"
541,"17th (Territorial) Battalion."
542,"18th (Service) Battalion."
544,"162 T.F. Depot."
545,"15th Battalion T.W."
546,"162nd T.F. Depot."
547,"1/8rd Battalion."
548,"6th Battalion, Attached 4th Nigerian Regt."
549,"16th T.W. Battalion."
550,"1st Garr. Battalion."
552,"Railways."
553,"Inland Water Transport."
554,"Roads and Quarries."
556,"11th Battalion (Service)."
557,"12th (Service) Battalion."
558,"13th (Service) Battalion."
559,"15th (Service) Battalion."
560,"16th (Service) Battalion."
561,"4th T.F. Battalion."
562,"1/4th (T.F.) Battalion."
563,"2/4th (T.F.) Battalion."
564,"1/5th (T.F.) Battalion."
565,"2/5th (T.F.) Battalion."
566,"3/5th (T.F.) Battalion."
567,"1/6th (T.F.) Battalion."
568,"2/6th (T.F.) Battalion."
569,"1/7th (T.F.) Battalion."
570,"2/7th (T.F.) Battalion."
571,"3/7th (T.F.) Battalion."
572,"1/8th (T.F.) Battalion."
573,"1/9th (T.F.) Battalion."
574,"2/9th (T.F.) Battalion."
575,"19th (Garrison) Battalion."
576,"4th Infantry Labour Company."
577,"52nd (Y.S.) Battalion."
580,"3rd Special Reserve Battalion."
581,"4th Special Reserve Battalion."
583,"7th Service Battalion."
584,"9th Service Battalion (Pioneers)."
