ID,NEW_RANK_ID,RANK_ID,Rank Group,Rank New,Rank Original,MYRANKID
1,7,1,"Privates","Armourer","ARMR./PTE.",19
2,8,1,"Privates","Artificer","ARTIFICER",20
3,9,1,"Privates","Band Boy","BAND BOY",21
4,10,1,"Privates","Bandsman","BANDSMAN",22
5,11,1,"Privates","Bandsman","BDN.",22
6,14,1,"Privates","Boy","BOY",23
7,12,1,"Privates","Bugler","BGLR",24
8,13,1,"Privates","Bugler","BGR",24
9,15,1,"Privates","Bugler","BUGLER",24
10,16,1,"Privates","Bugler","BUGLR.",24
11,17,1,"Privates","Cadet","CADET",25
12,18,1,"Privates","Cyclist","CYCLIST",26
13,25,1,"Privates","Driver","DRVR.",27
14,27,1,"Privates","Driver","DVR.",27
15,30,1,"Privates","Driver","DVS.",27
16,2,1,"Privates","Drummer","A/DMR.",28
17,3,1,"Privates","Drummer","A/DRUMMER",28
18,19,1,"Privates","Drummer","DMR",28
19,20,1,"Privates","Drummer","DR.",28
20,21,1,"Privates","Drummer","DRM.",28
21,22,1,"Privates","Drummer","DRMR",28
22,23,1,"Privates","Drummer","DRUMMER",28
23,24,1,"Privates","Drummer","DRUMMER.",28
24,31,1,"Privates","Farrier","FARRIER",29
25,32,1,"Privates","Farrier","FARRIER, DVR.",29
26,4,1,"Privates","Fitter","A/FTR.",30
27,33,1,"Privates","Fitter","FITTER",30
28,35,1,"Privates","Fitter","FTR./GNR.",30
29,36,1,"Privates","Fitter","FTR/GNR.",30
30,37,1,"Privates","Fitter","FTTR.",30
31,310,1,"Privates","Fitter","FTR.",30
32,39,1,"Privates","Guardsman","GDS.",31
33,40,1,"Privates","Guardsman","GDSMN.",31
34,41,1,"Privates","Guardsman","GDSN.",31
35,45,1,"Privates","Guardsman","GSN.",31
36,534,1,"Privates","Guardsman","DSN.",31
37,46,1,"Privates","Gunner","GUNNER",32
38,71,1,"Privates","Gunner","SM/GNR.",32
39,72,1,"Privates","Gunner","SMITH/GUNNER.",32
40,28,1,"Privates","Lance Bombardier","DVR. (UNPD/L/BDR.)",33
41,47,1,"Privates","Motor Cyclist","MOTOR CYCLIST",34
42,48,1,"Privates","Musician","MUSICIAN",35
43,538,1,"Privates","Nagsman","NAGSMAN",36
44,50,1,"Privates","Piper","PIPER",37
45,51,1,"Privates","Piper","PPR.",37
46,49,1,"Privates","Private","PIONEER",38
47,52,1,"Privates","Private","PRIVATE",38
